date,Handicapper,player_name,Leauge,stat_projection,stat_type,Over/Under,confidence_score,actual_statistic,Hit,,,,,,,,,,,,,,,,,,,,
2025-03-17,DanGambleAIEdge,Jalen Duren,NBA,10,Rebounds,Over,7.54,7,0,,,,,,,,,,,,,,,,,,,,
2025-03-17,DanGambleAIEdge,Naz Reid,NBA,6,Rebounds,Over,6.88,4,0,,,,,,,,,,,,,,,,,,,,
2025-03-24,DanGambleAIEdge,Jaden McDaniels,NBA,10,Points,Over,9.03,6,0,,,,,,,,,,,,,,,,,,,,
2025-03-24,DanGambleAIEdge,Coby White,NBA,3,Assists,Over,8.85,4,1,,,,,,,,,,,,,,,,,,,,
2025-03-24,DanGambleAIEdge,Jamal Murray,NBA,5,Assists,Over,8.65,7,1,,,,,,,,,,,,,,,,,,,,
2025-03-24,DanGambleAIEdge,Cam Johnson,NBA,15,Points,Over,8.27,17,1,,,,,,,,,,,,,,,,,,,,
2025-03-24,DanGambleAIEdge,Devin Booker,NBA,4,Rebounds,Over,8.21,4,1,,,,,,,,,,,,,,,,,,,,
2025-03-24,DanGambleAIEdge,Christian Braun,NBA,15,Points,Over,7.71,18,1,,,,,,,,,,,,,,,,,,,,
2025-03-24,DanGambleAIEdge,Luka Doncic,NBA,25,Points,Over,7.37,32,1,,,,,,,,,,,,,,,,,,,,
2025-03-24,DanGambleAIEdge,RJ Barrett,NBA,5,Rebounds,Over,6.87,7,1,,,,,,,,,,,,,,,,,,,,
2025-03-24,DanGambleAIEdge,Guerschon Yabusele,NBA,6,Rebounds,Over,6.57,7,1,,,,,,,,,,,,,,,,,,,,
2025-03-25,DanGambleAIEdge,Amen Thompson,NBA,8,Rebounds,Over,9.05,9.2,1,,,,,,,,,,,,,,,,,,,,
2025-03-25,DanGambleAIEdge,Tobias Harris,NBA,6,Rebounds,Over,8.56,8,1,,,,,,,,,,,,,,,,,,,,
2025-03-25,DanGambleAIEdge,Trae Young,NBA,30,Points,Over,8.29,19,0,,,,,,,,,,,,,,,,,,,,
2025-03-25,DanGambleAIEdge,Isaiah Collier,NBA,6,Assists,Over,8.21,4,0,,,,,,,,,,,,,,,,,,,,
2025-03-25,DanGambleAIEdge,Stephon Castle,NBA,15,Points,Over,8.18,19,1,,,,,,,,,,,,,,,,,,,,
2025-03-25,DanGambleAIEdge,Stephen Curry,NBA,4,Assists,Over,7.82,6.1,1,,,,,,,,,,,,,,,,,,,,
2025-03-25,DanGambleAIEdge,Toumani Camara,NBA,10,Points,Over,7.77,13,1,,,,,,,,,,,,,,,,,,,,
2025-03-25,DanGambleAIEdge,Spencer Dinwidie,NBA,15,Points,Over,7.69,13,0,,,,,,,,,,,,,,,,,,,,
2025-03-25,DanGambleAIEdge,Cade Cunningham,NBA,8,Assists,Over,7.55,8.4,1,,,,,,,,,,,,,,,,,,,,
2025-03-25,DanGambleAIEdge,OG Anunoby,NBA,15,Points,Over,7.51,35,1,,,,,,,,,,,,,,,,,,,,
2025-03-26,DanGambleAIEdge,Tyrese Haliburton,NBA,10,Assists,Over,9.32,18,1,,,,,,,,,,,,,,,,,,,,
2025-03-26,DanGambleAIEdge,James Harden,NBA,20,Points,Over,9.22,29,1,,,,,,,,,,,,,,,,,,,,
2025-03-26,DanGambleAIEdge,Russell Westbrook,NBA,4,Rebounds,Over,9.01,2,0,,,,,,,,,,,,,,,,,,,,
2025-03-26,DanGambleAIEdge,Christian Braun,NBA,4,Rebounds,Over,8.43,10,1,,,,,,,,,,,,,,,,,,,,
2025-03-26,DanGambleAIEdge,Gueschon Yabusele,NBA,10,Points,Over,7.72,21,1,,,,,,,,,,,,,,,,,,,,
2025-03-26,DanGambleAIEdge,RJ Barrett,NBA,4,Assists,Over,7.62,5,1,,,,,,,,,,,,,,,,,,,,
2025-03-26,DanGambleAIEdge,Rui Hachimura,NBA,10,Points,Over,7.42,14,1,,,,,,,,,,,,,,,,,,,,
2025-03-26,DanGambleAIEdge,Jrue Holiday,NBA,4,Rebounds,Over,7.22,2,0,,,,,,,,,,,,,,,,,,,,
2025-03-26,DanGambleAIEdge,Jaylen Brown,NBA,5,Assists,Over,7.09,5,1,,,,,,,,,,,,,,,,,,,,
